epoch,train_acc_basic_cnn_heavy_regularization,train_loss_basic_cnn_heavy_regularization,eval_acc_basic_cnn_heavy_regularization,eval_loss_basic_cnn_heavy_regularization
1,0.122,3.280,0.133,3.117
2,0.189,2.804,0.157,2.927
3,0.216,2.672,0.238,2.618
4,0.248,2.548,0.244,2.631
5,0.270,2.471,0.275,2.511
6,0.292,2.393,0.251,2.525
7,0.309,2.317,0.275,2.587
8,0.320,2.265,0.295,2.474
9,0.354,2.166,0.318,2.370
10,0.361,2.112,0.295,2.490
11,0.370,2.065,0.314,2.428
12,0.392,1.984,0.308,2.583
13,0.411,1.906,0.299,2.688
14,0.408,1.911,0.325,2.478
15,0.437,1.803,0.311,2.420
16,0.455,1.737,0.315,2.555
17,0.465,1.714,0.332,2.559
18,0.488,1.633,0.327,2.563
19,0.505,1.578,0.336,2.560
20,0.517,1.517,0.346,2.417
21,0.526,1.503,0.318,2.913
22,0.545,1.457,0.360,2.633
23,0.550,1.386,0.341,2.708
24,0.565,1.363,0.375,2.604
25,0.573,1.324,0.355,2.609
26,0.598,1.271,0.356,2.801
27,0.594,1.263,0.349,2.738
28,0.613,1.197,0.342,2.834
29,0.627,1.156,0.363,2.851
30,0.625,1.155,0.350,2.900
31,0.644,1.092,0.338,2.993
32,0.638,1.106,0.362,2.825
33,0.648,1.052,0.348,3.077
34,0.665,1.047,0.356,2.984
35,0.680,0.981,0.347,3.027
36,0.672,0.969,0.358,3.137
37,0.686,0.950,0.364,3.134
38,0.699,0.948,0.331,3.550
39,0.691,0.940,0.355,3.290
40,0.695,0.921,0.357,3.295
41,0.690,0.933,0.374,3.329
42,0.718,0.860,0.366,3.208
43,0.722,0.854,0.349,3.363
44,0.712,0.870,0.361,3.343
45,0.720,0.866,0.361,3.317
46,0.743,0.785,0.362,3.356
47,0.756,0.740,0.359,3.472
48,0.750,0.773,0.341,3.730
49,0.751,0.759,0.363,3.497
50,0.748,0.741,0.320,4.232
51,0.756,0.753,0.372,3.441
52,0.754,0.736,0.362,3.736
53,0.754,0.747,0.359,3.780
54,0.754,0.749,0.367,3.865
55,0.763,0.714,0.362,3.383
56,0.760,0.703,0.373,3.521
57,0.776,0.657,0.375,3.751
58,0.770,0.715,0.357,3.824
59,0.769,0.696,0.379,3.601
60,0.780,0.657,0.364,3.847
61,0.790,0.643,0.380,3.713
62,0.780,0.682,0.381,3.576
63,0.784,0.642,0.375,3.822
64,0.787,0.632,0.352,4.090
65,0.793,0.643,0.366,3.875
66,0.788,0.641,0.362,3.820
67,0.793,0.627,0.355,4.122
68,0.802,0.603,0.382,4.033
69,0.793,0.625,0.386,3.906
70,0.802,0.603,0.356,4.055
71,0.807,0.587,0.388,3.823
72,0.794,0.603,0.374,3.804
73,0.808,0.582,0.359,3.767
74,0.814,0.556,0.357,4.139
75,0.814,0.560,0.380,4.126
76,0.815,0.552,0.379,4.168
77,0.812,0.591,0.392,3.942
78,0.810,0.559,0.373,4.156
79,0.805,0.576,0.347,4.185
80,0.817,0.556,0.361,4.125
81,0.815,0.567,0.393,3.987
82,0.824,0.542,0.393,3.966
83,0.815,0.551,0.389,3.953
84,0.824,0.544,0.360,4.073
85,0.838,0.507,0.372,4.185
86,0.817,0.560,0.387,4.237
87,0.831,0.533,0.373,4.604
88,0.829,0.504,0.365,4.218
89,0.833,0.502,0.369,4.392
90,0.831,0.498,0.376,4.292
91,0.836,0.499,0.389,4.174
