epoch,train_acc_basic_cnn_no_regularization,train_loss_basic_cnn_no_regularization,eval_acc_basic_cnn_no_regularization,eval_loss_basic_cnn_no_regularization
1,0.254,2.640,0.295,2.412
2,0.540,1.635,0.306,2.397
3,0.823,0.861,0.268,2.796
4,0.972,0.335,0.319,2.534
5,0.993,0.129,0.276,2.952
6,0.996,0.064,0.393,2.352
7,0.997,0.030,0.410,2.212
8,0.999,0.015,0.429,2.145
9,0.999,0.008,0.435,2.140
10,0.999,0.006,0.429,2.144
11,1.000,0.004,0.430,2.157
12,1.000,0.003,0.437,2.166
13,1.000,0.003,0.435,2.181
14,1.000,0.002,0.431,2.193
